,DRUG_1_CONCEPT_NAME,DRUG_2_CONCEPT_NAME,EVENT_CONCEPT_NAME,MDR_CODE,MICROMEDEX_EVID_LEVEL,DRUG_1_CODE,DRUG_2_CODE
0,bendroflumethiazide,desmopressin,Hyponatraemia,10021036,Theoretical,1316354,1517070
20,chlorthalidone,desmopressin,Hyponatraemia,10021036,Theoretical,1395058,1517070
40,desmopressin,clopamide,Hyponatraemia,10021036,Theoretical,1517070,19099181
55,escitalopram,desmopressin,Hyponatraemia,10021036,Theoretical,715939,1517070
80,paroxetine,desmopressin,Hyponatraemia,10021036,Theoretical,722031,1517070
110,sertraline,desmopressin,Hyponatraemia,10021036,Theoretical,739138,1517070
135,carbamazepine,desmopressin,Hyponatraemia,10021036,Theoretical,740275,1517070
155,fluvoxamine,desmopressin,Hyponatraemia,10021036,Theoretical,751412,1517070
180,fluoxetine,desmopressin,Hyponatraemia,10021036,Theoretical,755695,1517070
205,citalopram,desmopressin,Hyponatraemia,10021036,Theoretical,797617,1517070
230,hydrochlorothiazide,desmopressin,Hyponatraemia,10021036,Theoretical,974166,1517070
250,indapamide,desmopressin,Hyponatraemia,10021036,Theoretical,978555,1517070
270,carbamazepine,furosemide,Hyponatraemia,10021036,Probable,740275,956874
286,carbamazepine,hydrochlorothiazide,Hyponatraemia,10021036,Probable,740275,974166
302,bumetanide,desmopressin,Hyponatraemia,10021036,Theoretical,932745,1517070
322,furosemide,desmopressin,Hyponatraemia,10021036,Theoretical,956874,1517070
342,ondansetron,methadone,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,1103640
367,escitalopram,methadone,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1103640
392,ondansetron,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,1309944
417,methadone,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,1103640,1309944
442,amiodarone,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,1342346
467,amiodarone,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,1381253
492,amiodarone,voriconazole,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,1714277
512,amiodarone,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,1750500
532,amiodarone,methotrimeprazine,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,19005147
552,amiodarone,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,40238052
572,amiodarone,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,40242675
592,amiodarone,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,43012417
617,escitalopram,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1309944
642,droperidol,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,739323,1309944
662,haloperidol,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,766529,1309944
697,hydroxyzine,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,777221,1309944
727,chlorpromazine,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1309944
752,ondansetron,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,1333379
772,amiodarone,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1309944,1746940
807,arsenic trioxide,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,1335606
827,arsenic trioxide,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,1746940
855,arsenic trioxide,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1333379,1750500
871,disopyramide,flecainide,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,1354860
896,disopyramide,erythromycin,Electrocardiogram QT prolonged,10014387,Probable,1335606,1746940
931,sotalol,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1370109,1746940
966,paliperidone,sotalol,Electrocardiogram QT prolonged,10014387,Theoretical,703244,1370109
991,paliperidone,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,703244,794852
1016,risperidone,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,735979,794852
1036,droperidol,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,739323,1000560
1056,droperidol,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,739323,1333379
1072,droperidol,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,739323,1335606
1092,droperidol,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,739323,1746940
1120,droperidol,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,739323,1750500
1136,droperidol,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,739323,794852
1156,droperidol,citalopram,Electrocardiogram QT prolonged,10014387,Theoretical,739323,797617
1176,haloperidol,disopyramide,Electrocardiogram QT prolonged,10014387,Probable,766529,1335606
1211,haloperidol,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,766529,1746940
1260,haloperidol,chlorpromazine,Electrocardiogram QT prolonged,10014387,Theoretical,766529,794852
1295,chlorpromazine,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1333379
1315,chlorpromazine,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,794852,1746940
1350,clomipramine,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,798834,1335606
1375,ondansetron,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,1335606
1400,ondansetron,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1000560,1746940
1435,vardenafil,sotalol,Electrocardiogram QT prolonged,10014387,Theoretical,1311276,1370109
1460,disopyramide,voriconazole,Electrocardiogram QT prolonged,10014387,Theoretical,1335606,1714277
1480,sunitinib,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1336539,1746940
1515,ranolazine,voriconazole,Electrocardiogram QT prolonged,10014387,Theoretical,1337107,1714277
1531,toremifene,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,1342346,40238052
1551,lapatinib,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,1359548,1746940
1586,voriconazole,quinine,Electrocardiogram QT prolonged,10014387,Theoretical,1714277,1760616
1606,paliperidone,methadone,Electrocardiogram QT prolonged,10014387,Theoretical,703244,1103640
1631,paliperidone,droperidol,Electrocardiogram QT prolonged,10014387,Theoretical,703244,739323
1651,paliperidone,apomorphine,Electrocardiogram QT prolonged,10014387,Theoretical,703244,837027
1676,escitalopram,ondansetron,Electrocardiogram QT prolonged,10014387,Theoretical,715939,1000560
1701,risperidone,haloperidol,Electrocardiogram QT prolonged,10014387,Theoretical,735979,766529
1729,droperidol,clomipramine,Electrocardiogram QT prolonged,10014387,Theoretical,739323,798834
