DRUG_1_CONCEPT_NAME,DRUG_2_CONCEPT_NAME,EVENT_CONCEPT_NAME,MDR_CODE,MICROMEDEX_EVID_LEVEL,DRUG_1_CODE,DRUG_2_CODE,DRUG_1_QID,DRUG_2_QID,EVENT_QID,SOURCING_QID
bendroflumethiazide,desmopressin,Hyponatraemia,10021036,Theoretical,1369,3251,Q1169164,Q241006,Q824292,Q18603603
chlorthalidone,desmopressin,Hyponatraemia,10021036,Theoretical,2409,3251,Q425289,Q241006,Q824292,Q18603603
desmopressin,clopamide,Hyponatraemia,10021036,Theoretical,3251,2603,Q241006,Q5135114,Q824292,Q18603603
escitalopram,desmopressin,Hyponatraemia,10021036,Theoretical,,3251,,Q241006,Q824292,Q18603603
paroxetine,desmopressin,Hyponatraemia,10021036,Theoretical,32937,3251,Q408471,Q241006,Q824292,Q18603603
sertraline,desmopressin,Hyponatraemia,10021036,Theoretical,36437,3251,Q407617,Q241006,Q824292,Q18603603
carbamazepine,desmopressin,Hyponatraemia,10021036,Theoretical,2002,3251,Q410412,Q241006,Q824292,Q18603603
fluvoxamine,desmopressin,Hyponatraemia,10021036,Theoretical,42355,3251,Q409236,Q241006,Q824292,Q18603603
fluoxetine,desmopressin,Hyponatraemia,10021036,Theoretical,4493,3251,Q422244,Q241006,Q824292,Q18603603
citalopram,desmopressin,Hyponatraemia,10021036,Theoretical,2556,3251,Q409672,Q241006,Q824292,Q18603603
hydrochlorothiazide,desmopressin,Hyponatraemia,10021036,Theoretical,5487,3251,Q423930,Q241006,Q824292,Q18603603
indapamide,desmopressin,Hyponatraemia,10021036,Theoretical,5764,3251,Q1078392,Q241006,Q824292,Q18603603
carbamazepine,furosemide,Hyponatraemia,10021036,Probable,2002,4603,Q410412,Q388801,Q824292,Q56644435
carbamazepine,hydrochlorothiazide,Hyponatraemia,10021036,Probable,2002,5487,Q410412,Q423930,Q824292,Q56644435
bumetanide,desmopressin,Hyponatraemia,10021036,Theoretical,1808,3251,Q275926,Q241006,Q824292,Q18603603
furosemide,desmopressin,Hyponatraemia,10021036,Theoretical,4603,3251,Q388801,Q241006,Q824292,Q18603603
ondansetron,methadone,Electrocardiogram QT prolonged,10014387,Theoretical,26225,6813,Q410011,Q179996,Q653924,Q18603603
escitalopram,methadone,Electrocardiogram QT prolonged,10014387,Theoretical,,6813,,Q179996,Q653924,Q18603603
ondansetron,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,26225,703,Q410011,Q410061,Q653924,Q18603603
methadone,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,6813,703,Q179996,Q410061,Q653924,Q18603603
amiodarone,toremifene,Electrocardiogram QT prolonged,10014387,Theoretical,703,38409,Q410061,Q3993743,Q653924,Q18603603
amiodarone,anagrelide,Electrocardiogram QT prolonged,10014387,Theoretical,703,596724,Q410061,Q408163,Q653924,Q18603603
amiodarone,voriconazole,Electrocardiogram QT prolonged,10014387,Theoretical,703,121243,Q410061,Q412236,Q653924,Q18603603
amiodarone,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,703,21212,Q410061,Q118551,Q653924,Q18603603
amiodarone,methotrimeprazine,Electrocardiogram QT prolonged,10014387,Theoretical,703,6852,Q410061,Q417204,Q653924,Q18603603
amiodarone,vandetanib,Electrocardiogram QT prolonged,10014387,Theoretical,703,1098413,Q410061,Q7914515,Q653924,Q18603603
amiodarone,crizotinib,Electrocardiogram QT prolonged,10014387,Theoretical,703,1148495,Q410061,Q5186964,Q653924,Q18603603
amiodarone,pasireotide,Electrocardiogram QT prolonged,10014387,Theoretical,703,1364105,Q410061,Q3896970,Q653924,Q18603603
escitalopram,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,,703,,Q410061,Q653924,Q18603603
droperidol,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,3648,703,Q174259,Q410061,Q653924,Q18603603
haloperidol,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,5093,703,Q251347,Q410061,Q653924,Q18603603
hydroxyzine,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,5553,703,Q421937,Q410061,Q653924,Q18603603
chlorpromazine,amiodarone,Electrocardiogram QT prolonged,10014387,Theoretical,2403,703,Q407972,Q410061,Q653924,Q18603603
ondansetron,arsenic trioxide,Electrocardiogram QT prolonged,10014387,Theoretical,26225,18330,Q410011,Q7739,Q653924,Q18603603
amiodarone,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,703,4053,Q410061,Q213511,Q653924,Q18603603
arsenic trioxide,disopyramide,Electrocardiogram QT prolonged,10014387,Theoretical,18330,3541,Q7739,Q425120,Q653924,Q18603603
arsenic trioxide,erythromycin,Electrocardiogram QT prolonged,10014387,Theoretical,18330,4053,Q7739,Q213511,Q653924,Q18603603
arsenic trioxide,clarithromycin,Electrocardiogram QT prolonged,10014387,Theoretical,18330,21212,Q7739,Q118551,Q653924,Q18603603
disopyramide,flecainide,Electrocardiogram QT prolonged,10014387,Theoretical,3541,4441,Q425120,Q421381,Q653924,Q18603603
